temperature;heating;window;growth
14,9;0;0;-1,120
20,5;4;0;5,611
20,1;1;0;-0,388
21,6;4;1;1,540
18,6;0;1;-3,030
21,0;4;1;2,404
20,1;2;1;-0,966
21,6;4;1;1,570
20,4;2;1;-1,184
21,8;4;1;1,346
20,5;2;1;-1,242
21,8;4;1;1,286
20,6;2;1;-1,258
21,8;4;1;1,270
20,6;2;1;-1,262
21,8;4;1;1,265
20,6;2;1;-1,263
21,8;4;1;1,264
22,1;2;0;0,265
24,0;4;0;1,925
22,4;0;0;-1,682
22,5;2;0;0,118
20,9;0;0;-1,573
21,4;2;0;0,540
19,9;0;0;-1,501
21,9;3;0;1,926
20,3;0;0;-1,530
22,1;3;0;1,768
20,6;0;0;-1,547
22,2;3;0;1,679
20,7;0;0;-1,556
22,3;3;0;1,630
20,7;0;0;-1,561
22,3;3;0;1,603
19,2;0;1;-3,128
20,1;3;1;0,868
20,5;3;1;0,460
20,8;3;1;0,244
20,9;3;1;0,129
21,0;3;1;0,068
21,0;3;1;0,036
21,0;3;1;0,019
21,1;3;1;0,010
22,5;3;0;1,479
21,0;0;0;-1,577
21,5;2;0;0,523
20,0;0;0;-1,503
20,8;2;0;0,808
20,3;1;0;-0,441
21,0;2;0;0,701
20,6;1;0;-0,488
21,2;2;0;0,639
20,7;1;0;-0,515
21,3;2;0;0,603
20,8;1;0;-0,531
21,3;2;0;0,582
20,8;1;0;-0,540
